Taxon name,Author
Licuala spinosa,Wurmb       
Ligustrum lucidum,W.T.Aiton       
Lilium lancifolium,Thunb.       
Limnanthes douglasii,R. Br.      
Limnocharis flava,(L.) Buchenau      
Limonium sinuatum,(L.) Mill.      
Linaria incarnata,(Vent.) Spreng.      
Linaria purpurea,(L.) Mill.      
Linum grandiflorum,Desf.       
Linum usitatissimum,L.       
Lippia alba,(Mill.) N.E.Br. ex Britton & P.Wilson  
Liquidambar formosana,Hance       
Liquidambar styraciflua,L.       
Liriodendron tulipifera,L.       
Litchi chinensis,Sonn.       
Livistona australis,(R.Br.) Mart.      
Livistona chinensis,(Jacq.) R.Br. ex Mart.    
Lobelia chinensis,Lour.       
Lobelia erinus,L.       
Lobularia maritima,(L.) Desv.      
Lodoicea maldivica,(J.F.Gmel.) Pers.      
Lolium multiflorum,Lam.       
Lolium perenne,L.       
Lolium temulentum,L.       
Lonchocarpus capassa,Rolfe       
Lonchocarpus cultratus,(Vell.) A.M.G. Azevedo & H.C. Lima  
Lonchocarpus guillemineanus,(Tul.) Malme      
Lonchocarpus sericeus,(Poir.) DC.      
Lonicera caprifolium,L.       
Lonicera confusa,DC.       
Lonicera etrusca,Santi       
Lonicera japonica,Thunb.       
Lonicera periclymenum,L.       
Lonicera sempervirens,L.       
Lophospermum erubescens,D.Don       
Lophospermum scandens,D. Don      
Lophostemon confertus,(R.Br.) Peter G.Wilson & J.T.Waterh.   
Lotus jacobaeus,L.       
Ludwigia erecta,(L.) H.Hara      
Ludwigia hyssopifolia,(G.Don) Exell      
Ludwigia peruviana,(L.) H.Hara      
Ludwigia sedioides,(Humb. & Bonpl.) H.Hara    
Luehea candida,(Moc. & Sess?© ex DC.) Mart.  
Lupinus albus,L.       
Lupinus perennis,L.       
Lupinus pilosus,L.       
Lupinus polyphyllus,Lindl.       
Lycium barbarum,L.       
Lycium europaeum,L.       
Lycopersicon lycopersicum,(L.) H.Karst.      
Lycopus europaeus,L.       
Lygeum spartum,Loefl. ex L.     
Lysiloma latisiliquum,(L.) Benth.      
Lythrum salicaria,L.       
Maclura pomifera,(Raf.) C.K.Schneid.      
Macroptilium atropurpureum,(DC.) Urb.      
Macroptilium lathyroides,(L.) Urb.      
Macrotyloma uniflorum,(Lam.) Verdc.      
Maesopsis eminii,Engl.       
Magnolia figo,(Lour.) DC.      
Magnolia grandiflora,L.       
Magnolia liliifera,(L.) Baill.      
Magnolia liliiflora,Desr.       
Malachra capitata,(L.) L.      
Malpighia coccigera,L.       
Malpighia emarginata,DC.       
Malpighia glabra,L.       
Malus pumila,Mill.       
Malus sylvestris,(L.) Mill.      
Malva ludwigii,"(L.) Soldano, Banfi & Galasso   "
Malva multiflora,"(Cav.) Soldano, Banfi & Galasso   "
Malva neglecta,Wallr.       
Malva parviflora,L.       
Malva sylvestris,L.       
Malvastrum coromandelianum,(L.) Garcke      
Malvaviscus arboreus,Cav.       
Malvaviscus penduliflorus,Moc. & Sess?© ex DC.   
Mammea americana,L.       
Mandevilla boliviensis,(Hook.f.) Woodson      
Mandevilla laxa,(Ruiz & Pav.) Woodson    
Manettia cordifolia,Mart.       
Manihot anomala,Pohl       
Manihot dichotoma,Ule       
Manihot esculenta,Crantz       
Manihot grahamii,Hook.       
Manilkara kauki,(L.) Dubard      
Manilkara zapota,(L.) P.Royen      
Mansoa alliacea,(Lam.) A.H.Gentry      
Mansoa hymenaea,(DC.) A.H.Gentry      
Maranta cristata,Nees & Mart.     
Markhamia lutea,(Benth.) K.Schum.      
Markhamia stipulata,(Wall.) Seem.      
Marsilea quadrifolia,L.       
Martynia annua,L.       
Mascarenhasia arborescens,A.DC.       
Matthiola incana,(L.) R.Br.      
Maurandya barclayana,Lindl.       
Maurandya scandens,(Cav.) Pers.      
Mecardonia procumbens,(Mill.) Small      
Medicago lupulina,L.       
Medicago polymorpha,L.       
Medicago sativa,L.       
Melaleuca alternifolia,(Maiden & Betche) Cheel    
Melaleuca armillaris,(Sol. ex Gaertn.) Sm.    
Melaleuca bracteata,F.Muell.       
Melaleuca hypericifolia,Sm.       
Melaleuca leucadendra,(L.) L.      
Melaleuca nesophila,F.Muell.       
Melaleuca quinquenervia,(Cav.) S.T.Blake      
Melaleuca styphelioides,Sm.       
Melampodium divaricatum,(Rich. ex Rich.) DC.    
Melanthera micrantha,(Nutt.) W.L.Wagner & H.Rob.    
Melia azedarach,L.       
Melianthus major,L.       
Melica minuta,L.       
Melicope denhamii,(Seem.) T.G.Hartley      
Melilotus albus,Medik.       
Melilotus indicus,(L.) All.      
Melilotus officinalis,(Medik.) H.Ohashi & Tateishi    
Melinis minutiflora,P.Beauv.       
Melinis repens,(Willd.) Zizka      
Melocalamus compactiflorus,(Kurz) Benth.      
Melochia corchorifolia,L.       
Melochia nodiflora,Sw.       
Melochia pyramidata,L.       
Mentha aquatica,L.       
Mentha arvensis,L.       
Mentha piperita,L.       
Mentha spicata,L.       
Meriandra dianthera,(Roth ex Roem. & Schult.) Briq.  
Merremia aegyptia,(L.) Urb.      
Merremia dissecta,(Jacq.) Hallier f.     
Merremia peltata,(L.) Merr.      
Merremia quinata,(R. Br.) Ooststr.     
Merremia quinquefolia,(L.) Hallier f.     
Merremia tuberosa,(L.) Rendle      
Mesembryanthemum cordifolium,L.f.       
Mesembryanthemum crystallinum,L.       
Micrococca mercurialis,(L.) Benth.      
Micromelum falcatum,(Lour.) Tanaka      
Mikania cordata,(Burm.f.) B.L.Rob.      
Mikania micrantha,Kunth       
Milicia excelsa,(Welw.) C.C.Berg      
Millettia brandisiana,Kurz       
Millettia peguensis,Ali       
Millingtonia hortensis,L.f.       
Mimosa diplotricha,C. Wright      
Mimosa distachya,Cav.       
Mimosa invisa,Colla       
Mimosa pigra,L.       
Mimosa pudica,L.       
Mimulus luteus,L.       
Mirabilis jalapa,L.       
Mirabilis longiflora,L.       
Mirabilis viscosa,Cav.       
Mitracarpus hirtus,(L.) DC.      
Modiola caroliniana,(L.) G.Don      
Molineria capitulata,(Lour.) Herb.      
Moltkia suffruticosa,(L.) Hegi      
Monarda fistulosa,L.       
Monechma debile,(Forssk.) Nees      
Monochoria vaginalis,(Burm.f.) C.Presl      
Monstera deliciosa,Liebm.       
Montanoa bipinnatifida,(Kunth) K.Koch      
Montanoa grandiflora,(DC.) Sch.Bip. ex Hemsl.    
Moringa oleifera,Lam.       
Morus alba,L.       
Morus nigra,L.       
Muehlenbeckia platyclados,(F.Muell.) Meisn.      
Muntingia calabura,L.       
Muraltia juniperifolia,DC.       
Musa basjoo,Siebold & Zucc. ex Iinuma   
Musa paradisiaca,L.       
Musa textilis,N»e       
Mussaenda erythrophylla,Schumach. & Thonn.     
Mussaenda frondosa,L.       
Mussaenda glabrata,(Hook.f.) Hutch. ex Gamble    
Mussaenda philippica,A.Rich.       
Myosotis laxa,Lehm.       
Myosotis scorpioides,L.       
Myriophyllum aquaticum,(Vell.) Verdc.      
Myristica fragrans,Houtt.       
Myroxylon balsamum,(L.) Harms      
Myrtus communis,L.       
Nageia wallichiana,(C.Presl) Kuntze      
Nandina domestica,Thunb.       
Narcissus pseudonarcissus,L.       
Narcissus tazetta,L.       
Nasturtium officinale,R.Br.       
Nauclea orientalis,(L.) L.      
Nemesia strumosa,Benth.       
Nemesia versicolor,E. Mey. ex Benth.    
Nemophila menziesii,(Benth.) Brand      
Neolamarckia cadamba,(Roxb.) Bosser      
Neomarica gracilis,(Herb.) Sprague      
Nephelium lappaceum,L.       
Neptunia plena,(L.) Benth.      
Nerine undulata,(L.) Herb.      
Nerium oleander,L.       
Nicandra physalodes,(L.) Gaertn.      
Nicotiana alata,Link & Otto     
Nicotiana glauca,Graham       
Nicotiana plumbaginifolia,Viv.       
Nicotiana rustica,L.       
Nicotiana sanderae,W. Watson      
Nicotiana tabacum,L.       
Nierembergia linariifolia,Graham       
Nigella damascena,L.       
Nigella sativa,L.       
Noltea africana,(L.) Rchb. f.     
Nopalea cochenillifera,(L.) Salm-Dyck      
Nothosaerva brachiata,(L.) Wight      
Nuphar japonica,DC.       
Nyctanthes arbor-tristis,L.       
Nymphaea alba,L.       
Nymphaea lotus,L.       
Nymphaea mexicana,Zucc.       
Nymphaea nouchali,Burm.f.       
Nymphaea odorata,Aiton       
Nymphaea omarana,Bisset       
Nymphoides indica,(L.) Kuntze      
Ochna atropurpurea,DC.       
Ochna kirkii,Oliv.       
Ochna serrulata,Walp.       
Ochna thomasiana,Engl. & Gilg     
Ochroma pyramidale,(Cav. ex Lam.) Urb.    
Ochrosia elliptica,Labill.       
Ocimum africanum,Lour.       
Ocimum americanum,L.       
Ocimum basilicum,L.       
Ocimum gratissimum,L.       
Ocimum kilimandscharicum,G?∫rke       
Odontadenia macrantha,(Roem. & Schult.) Markgr.    
Oenothera biennis,L.       
Oenothera drummondii,Hook.       
Oenothera glazioviana,Micheli       
Oenothera laciniata,Hill       
Oenothera odorata,Jacq.       
Oenothera rosea,L'H»r. ex Aiton     
Oenothera stricta,Ledeb. ex Link     
Oenothera tetraptera,Cav.       
Oldenlandia corymbosa,L.       
Oldenlandia ovatifolia,(Cav.) DC.      
Oldenlandia tenelliflora,(Blume) Kuntze      
Olea europaea,L.       
Oncoba spinosa,Forssk.       
Onopordum acanthium,L.       
Ophiopogon jaburan,(Siebold) Lodd.      
Opilia amentacea,Roxb.       
Opuntia cochenillifera,(L.) Mill.      
Opuntia dillenii,(Ker Gawl.) Haw.     
Opuntia elatior,Mill.       
Opuntia ficus-indica,(L.) Mill.      
Opuntia monacantha,(Willd.) Haw.      
Opuntia stricta,(Haw.) Haw.      
Origanum majorana,L.       
Origanum vulgare,L.       
Ormocarpum trachycarpum,(Taub.) Harms      
Ornithogalum arabicum,L.       
Ornithogalum conicum,Jacq.       
Orobanche crenata,Forssk.       
Oryza barthii,A.Chev.       
Oryza latifolia,Desv.       
Oryza punctata,Kotschy ex Steud.     
Osmoxylon lineare,(Merr.) Philipson      
Osteospermum ecklonis,(DC.) Norl.      
Ottelia alismoides,(L.) Pers.      
Oxalis corniculata,L.       
Oxalis debilis,Kunth       
Oxalis dehradunensis,Raizada       
Oxalis deppei,Lodd. ex Sweet     
Oxalis latifolia,Kunth       
Oxalis pes-caprae,L.       
Oxalis purpurea,L.       
Oxalis rosea,Jacq.       
Oxalis spiralis,Ruiz & Pav. ex G.Don   
Oxalis tetraphylla,Cav.       
Oxalis triangularis,A. St.-Hil.      
Oxalis variabilis,Jacq.       
Oxalis violacea,L.       
Oxygonum sinuatum,(Hochst. & Steud ex Meisn.) Dammer  
Oxytenanthera abyssinica,(A.Rich.) Munro      
Pachira aquatica,Aubl.       
Pachyrhizus erosus,(L.) Urb.      
Pachystachys coccinea,(Aubl.) Nees      
Pachystachys lutea,Nees       
Pandanus odorifer,(Forssk.) Kuntze      
Pandorea jasminoides,(Lindl.) K.Schum.      
Panicum coloratum,L.       
Panicum hippothrix,K.Schum. ex Engl.     
Panicum maximum,Jacq.       
Panicum turgidum,Forssk.       
Papaver fugax,Poir.       
Papaver macrostomum,Boiss. & A.Huet     
Papaver rhoeas,L.       
Papaver somniferum,L.       
Parapiptadenia rigida,(Benth.) Brenan      
Paraserianthes lophantha,(Willd.) I.C.Nielsen      
Parinari excelsa,Sabine       
Parkia biglandulosa,Wight & Arn.     
Parkinsonia aculeata,L.       
Parmentiera cereifera,Seem.       
Parthenium hysterophorus,L.       
Paspalum conjugatum,P.J.Bergius       
Paspalum dilatatum,Poir.       
Paspalum distichum,L.       
Paspalum notatum,Fl?∫gg?©       
Paspalum plicatulum,Michx.       
Paspalum urvillei,Steud.       
Passiflora antioquiensis,H. Karst.      
Passiflora biflora,Lam.       
Passiflora caerulea,L.       
Passiflora calcarata,Mast.       
Passiflora ciliata,Aiton       
Passiflora coccinea,Aubl.       
Passiflora edulis,Sims       
Passiflora foetida,L.       
Passiflora gracilis,J.Jacq. ex Link     
Passiflora holosericea,L.       
Passiflora kermesina,Link & Otto     
Passiflora laurifolia,L.       
Passiflora ligularis,Juss.       
Passiflora mollissima,(Kunth) L.H.Bailey      
Passiflora morifolia,Mast.       
Passiflora quadrangularis,L.       
Passiflora racemosa,Brot.       
Passiflora stipulata,Aubl.       
Passiflora suberosa,L.       
Passiflora subpeltata,Ortega       
Passiflora vitifolia,Kunth       
Paulownia tomentosa,Steud.       
Pavonia hastata,Cav.       
Pedalium murex,L.       
Pelargonium capitatum,(L.) L'H?©r.      
Pelargonium cucullatum,(L.) L'H?©r.      
Pelargonium domesticum,L.H. Bailey      
Pelargonium graveolens,L'H?©r.       
Pelargonium grossularioides,(L.) L'H?©r.      
Pelargonium hortorum,L.H. Bailey      
Pelargonium inquinans,(L.) L'H?©r.      
Pelargonium peltatum,(L.) L'H?©r.      
Pelargonium quercifolium,(L. f.) L'H?©r.     
Pelargonium radens,H.E. Moore      
Pelargonium zonale,(L.) L'H?©r. ex Aiton    
Peltophorum africanum,Sond.       
Peltophorum dasyrrhachis,(Pierre) K.Larsen & S.S.Larsen    
Peltophorum dubium,(Spreng.) Taub.      
Pennisetum clandestinum,Hochst. ex Chiov.     
Pennisetum glaucum,(L.) R.Br.      
Pennisetum pedicellatum,Trin.       
Pennisetum polystachyum,       
Pennisetum purpureum,Schumach.       
Penstemon azureus,Benth.       
Penstemon campanulatus,(Cav.) Willd.      
Penstemon rubicundus,D.D. Keck      
Pentalinon luteum,(L.) B.F.Hansen & Wunderlin    
Pentapetes phoenicea,L.       
Pentas lanceolata,(Forssk.) Deflers      
Pentas zanzibarica,(Klotzsch) Vatke      
Peperomia argyreia,(Hook.f.) E.Morren      
Peperomia pellucida,(L.) Kunth      
Pereskia aculeata,Mill.       
Pereskia bleo,(Kunth) DC.      
Pereskia grandiflora,Pfeiff.       
Pericallis cruenta,(L'H»r.) Bolle      
Pericallis hybrida,(Regel) B.Nord.      
Peristeria elata,Hook.       
Persea americana,Mill.       
Persea macrantha,(Nees) Kosterm.      
Persicaria barbata,(L.) H.Hara      
Persicaria chinensis,(L.) H. Gross     
Persicaria hydropiper,(L.) Delarbre      
Petiveria alliacea,L.       
Petrea volubilis,L.       
Petunia axillaris,"(Lam.) Britton, Sterns & Poggenb.   "
Petunia integrifolia,(Hook.) Schinz & Thell.    
Petunia nyctaginiflora,Juss.       
Petunia violacea,Lindl.       
Phaedranassa dubia,(Kunth) J.F.Macbr.      
Phalaris aquatica,L.       
Phalaris arundinacea,L.       
Phalaris minor,Retz.       
Phaseolus lunatus,L.       
Phaseolus vulgaris,L.       
Philadelphus coronarius,L.       
Philenoptera violacea,(Klotzsch) Schrire      
Phlox drummondii,Hook.       
Phoenix canariensis,Chabaud       
Phoenix dactylifera,L.       
Phoenix reclinata,Jacq.       
Phoenix roebelenii,O'Brien       
Phormium tenax,J.R.Forst. & G.Forst.     
Phragmites australis,(Cav.) Trin. ex Steud.    
Phyllanthus acidus,(L.) Skeels      
Phyllanthus angustifolius,(Sw.) Sw.      
Phyllanthus arbuscula,(Sw.) J.F.Gmel.      
Phyllanthus asperulatus,Hutch.       
Phyllanthus emblica,L.       
Phyllanthus myrtifolius,(Wight) M?∫ll.Arg.      
Phyllanthus tenellus,Roxb.       
Phyllarthron bojeranum,DC.       
Phyllarthron comorense,DC.       
Phyllostachys edulis,(Carri?Ære) J.Houz.      
Physalis angulata,L.       
Physalis heterophylla,Nees       
Physalis lagascae,Roem. & Schult.     
Physalis lobata,Torr.       
Physalis peruviana,L.       
Physalis philadelphica,Lam.       
Physalis pruinosa,L.       
Phytolacca dioica,L.       
Phytolacca octandra,L.       
Pilea microphylla,(L.) Liebm.      
Pilea serpyllifolia,(Poir.) Wedd.      
Pilea trianthemoides,(Sw.) Lindl.      
Pimenta dioica,(L.) Merr.      
Pimenta racemosa,(Mill.) J.W.Moore      
Pinus canariensis,C.Sm.       
Pinus caribaea,Morelet       
Pinus densiflora,Siebold & Zucc.     
Pinus elliottii,Engelm.       
Pinus halepensis,Mill.       
Pinus hartwegii,Lindl.       
Pinus merkusii,Jungh. & de Vriese    
Pinus oocarpa,Schiede       
Pinus patula,Schiede ex Schltdl. & Cham.   
Pinus radiata,D.Don       
Piper betle,L.       
Piper divaricatum,G.Mey.       
Piper nigrum,L.       
Pistacia terebinthus,L.       
Pistia stratiotes,L.       
Pisum sativum,L.       
Pithecellobium dulce,(Roxb.) Benth.      
Pithecellobium unguis-cati,(L.) Benth.      
Pittosporum bicolor,Hook.       
Pittosporum crassifolium,Banks & Sol. ex A.Cunn.   
Pittosporum tobira,(Thunb.) W.T.Aiton      
Pittosporum umbellatum,Banks & Soland ex Gaertn.   
Pittosporum undulatum,Vent.       
Pittosporum viridiflorum,Sims       
Plantago lanceolata,L.       
Plantago major,L.       
Plantago ovata,Forssk.       
Platanus occidentalis,L.       
Platanus orientalis,L.       
Platostoma africanum,P.Beauv.       
Platycladus orientalis,(L.) Franco      
Plectranthus scutellarioides,(L.) R.Br.      
Pleonotoma jasminifolia,(Kunth) Miers      
Plumbago auriculata,Lam.       
Plumbago zeylanica,L.       
Plumeria alba,L.       
Plumeria obtusa,L.       
Plumeria pudica,Jacq.       
Plumeria rubra,L.       
Poa annua,L.       
Poa pratensis,L.       
Podocarpus latifolius,(Thunb.) R.Br. ex Mirb.    
Podocarpus macrophyllus,(Thunb.) Sweet      
Podocarpus neriifolius,D.Don       
Podranea ricasoliana,(Tanfani) Sprague      
Polianthes tuberosa,L.       
Polyalthia longifolia,(Sonn.) Thwaites      
Polycarpaea corymbosa,(L.) Lam.      
Polycarpon tetraphyllum,(L.) L.      
Polygala lancifolia,A. St.-Hil. & Moq.    
Polygala myrtifolia,L.       
Polygonum aviculare,L.       
Polygonum maritimum,L.       
Polypogon monspeliensis,(L.) Desf.      
Polyscias australiana,(F.Muell.) Philipson      
Polyscias balfouriana,(Andr») L.H.Bailey      
Polyscias cumingiana,(C.Presl) Fern.-Vill.      
Polyscias filicifolia,(C.Moore ex E.Fourn.) L.H.Bailey    
Polyscias fruticosa,(L.) Harms      
Polyscias guilfoylei,(W.Bull) L.H.Bailey      
Polyscias obtusifolia,Frodin       
Polyscias scutellaria,(Burm.f.) Fosberg      
Polysiphonia brodiei,       
Polytrias indica,(Houtt.) Veldkamp      
Pomaderris apetala,Labill.       
Pomaderris lanigera,(Andrews) Sims      
Pontederia cordata,L.       
Populus alba,L.       
Populus deltoides,Marshall       
Porana volubilis,Burm. f.      
Portlandia grandiflora,L.       
Portulaca grandiflora,Hook.       
Portulaca oleracea,L.       
Portulaca pilosa,L.       
Portulaca quadrifida,L.       
Portulacaria afra,Jacq.       
Potamogeton berchtoldii,Fieber       
Potamogeton crispus,L.       
Potamogeton pusillus,L.       
Potamogeton trichoides,Cham. & Schltdl.     
Pouteria campechiana,(Kunth) Baehni      
Primula malacoides,Franch.       
Primula obconica,Hance       
Pritchardia pacifica,Seem. & H.Wendl.     
Proiphys amboinensis,(L.) Herb.      
Prosopis chilensis,(Molina) Stuntz      
Prosopis glandulosa,Torr.       
Prosopis juliflora,(Sw.) DC.      
Prosopis pallida,(Willd.) Kunth      
Prosopis velutina,Wooton       
Proustia pyrifolia,DC.       
Prunus armeniaca,L.       
Prunus avium,(L.) L.      
Prunus campanulata,Maxim.       
Prunus domestica,L.       
Prunus laurocerasus,L.       
Prunus mahaleb,L.       
Prunus persica,(L.) Batsch      
Prunus salicina,Lindl.       
Pseudelephantopus spicatus,(Juss. ex Aubl.) C.F.Baker    
Pseuderanthemum carruthersii,(Seem.) Guillaumin      
Pseuderanthemum cinnabarinum,(Wall.) Radlk.      
Pseudobombax ellipticum,(Kunth) Dugand      
Pseudofumaria lutea,(L.) Borkh.      
Pseudomussaenda flava,Verdc.       
Psidium cattleianum,Afzel. ex Sabine     
Psidium friedrichsthalianum,(O.Berg) Nied.      
Psidium guajava,L.       
Psidium guineense,Sw.       
Psophocarpus scandens,(Endl.) Verdc.      
Psophocarpus tetragonolobus,(L.) DC.      
Psoralea pinnata,L.       
Pterocarpus indicus,Willd.       
Pterocarpus rotundifolius,(Sond.) Druce      
Pterocarya stenoptera,C. DC.      
Pterocymbium tinctorium,(Blanco) Merr.      
Pterospermum acerifolium,(L.) Willd.      
Pterospermum semisagittatum,Buch.-Ham. ex Roxb.     
Ptychosperma elegans,(R.Br.) Blume      
Ptychosperma macarthurii,(H.Wendl. ex H.J.Veitch) H.Wendl. ex Hook.f.  
Pueraria montana,(Willd.) Sanjappa & Pradeep    
Punica granatum,L.       
Pupalia lappacea,(L.) Juss.      
Pycnostachys speciosa,G?∫rke       
Pycreus pumilus,(L.) Nees      
Pyrolirion arvense,"(F.Dietr.) Erhardt, Gàtz & Seybold   "
Pyrostegia venusta,(Ker Gawl.) Miers     
Pyrus communis,L.       
Pyrus pyrifolia,(Burm.f.) Nakai      
Quassia amara,L.       
Quercus baloot,Griff.       
Quercus coccifera,L.       
Quercus ilex,L.       
Quercus robur,L.       
Quillaja saponaria,Molina       
Ranunculus aquatilis,L.       
Raphanus raphanistrum,L.       
Raphionacme hirsuta,(E.Mey.) R.A.Dyer      
Rauvolfia tetraphylla,L.       
Ravenala madagascariensis,Sonn.       
Ravenia spectabilis,Engl.       
Reseda alba,L.       
Reseda luteola,L.       
Reseda odorata,L.       
Reynoutria sachalinensis,(F.Schmidt) Nakai      
Rhamnus cathartica,L.       
Rhamnus persica,P. Lawson      
Rhapis excelsa,(Thunb.) Henry      
Rheum rhaponticum,L.       
Rhodanthe chlorocephala,(Hook.) Paul G.Wilson     
Rhodanthe manglesii,Lindl.       
Rhododendron indicum,(L.) Sweet      
Rhododendron mucronatum,(Blume) G. Don     
Rhododendron ponticum,L.       
Rhododendron simsii,Planch.       
Rhynchosia minima,(L.) DC.      
Richardia brasiliensis,Gomes       
Richardia scabra,L.       
Ricinus communis,L.       
Rivina humilis,L.       
Robinia pseudoacacia,L.       
Romneya coulteri,Harv.       
Rondeletia odorata,Jacq.       
Rorippa dubia,(Pers.) H.Hara      
Rorippa islandica,(Oeder) Borb?∞s      
Rosa banksiae,R.Br.       
Rosa canina,L.       
Rosa cathayensis,(Rehder & E.H.Wilson) L.H.Bailey    
Rosa centifolia,L.       
Rosa chinensis,Jacq.       
Rosa cymosa,Tratt.       
Rosa fujisanensis,(Makino) Makino      
Rosa laevigata,Michx.       
Rosa moschata,Herrm.       
Rosa multiflora,Thunb.       
Rosa setigera,Michx.       
Rotala densiflora,(Roth) Koehne      
Rotala indica,(Willd.) Koehne      
Rotheca incisa,(Klotzsch) Steane & Mabb.    
Rotheca myricoides,(Hochst.) Steane & Mabb.    
Roystonea regia,(Kunth) O.F.Cook      
Rubus buergeri,Miq.       
Rubus moluccanus,L.       
Rubus ulmifolius,Schott       
Rudbeckia maxima,Nutt.       
Ruellia elegans,Poir.       
Ruellia simplex,C.Wright       
Ruellia tuberosa,L.       
Ruellia tweediana,Griseb.       
Rumex acetosella,L.       
Rumex aquaticus,L.       
Rumex conglomeratus,Murray       
Rumex crispus,L.       
Rumex obtusifolius,L.       
Rumex paulsenianus,Rech. f.      
Ruscus aculeatus,L.       
Russelia equisetiformis,Schltdl. & Cham.     
Russelia floribunda,Kunth       
Russelia rotundifolia,Cav.       
Russelia sarmentosa,Jacq.       
Ruta graveolens,L.       
Ruttya fruticosa,Lindau       
Sabal mauritiiformis,(H.Karst.) Griseb. & H.Wendl.    
Sabal minor,(Jacq.) Pers.      
Sabal palmetto,(Walter) Lodd. ex Schult. & Schult.f.  
Saccharum officinarum,L.       
Saccharum spontaneum,L.       
Sagina procumbens,L.       
Sagina saginoides,(L.) H.Karst.      
Sagittaria latifolia,Willd.       
Sagittaria sagittifolia,L.       
Salix alba,L.       
Salix babylonica,L.       
Salix cinerea,L.       
Salvia coccinea,Buc'hoz ex Etl.     
Salvia elegans,Vahl       
Salvia farinacea,Benth.       
Salvia involucrata,Cav.       
Salvia leucantha,Cav.       
Salvia microphylla,Kunth       
Salvia officinalis,L.       
Salvia patens,Cav.       
Salvia plebeia,R.Br.       
Salvia sclarea,L.       
Salvia splendens,Sellow ex Schult.     
Salvia uliginosa,Benth.       
Salvia verbenaca,L.       
Salvinia adnata,Desv.       
Salvinia natans,(L.) All.      
Sambucus nigra,L.       
Sanchezia nobilis,Hook.f.       
Sanchezia parvibracteata,Sprague & Hutch.     
Sandoricum koetjape,(Burm.f.) Merr.      
Sannantha virgata,(J.R.Forst. & G.Forst.) Peter G.Wilson   
Sansevieria cylindrica,Bojer ex Hook.     
Sansevieria hyacinthoides,(L.) Druce      
Sansevieria trifasciata,Prain       
Sansevieria zeylanica,(L.) Willd.      
Santolina chamaecyparissus,L.       
Sapindus mukorossi,Gaertn.       
Sapindus saponaria,L.       
Sapium sebiferum,(L.) Roxb.      
Saponaria officinalis,L.       
Saraca declinata,Miq.       
Saraca thaipingensis,Prain       
Saribus rotundifolius,(Lam.) Blume      
Satureja hortensis,L.       
Saxifraga stolonifera,Curtis       
Scabiosa atropurpurea,L.       
Scadoxus multiflorus,(Martyn) Raf.      
Scadoxus puniceus,(L.) Friis & Nordal    
Scaevola taccada,(Gaertn.) Roxb.      
Scandix stellata,Banks & Sol.     
Schaueria calicotricha,(Link & Otto) Nees    
Schefflera actinophylla,(Endl.) Harms      
Schefflera arboricola,(Hayata) Merr.      
Schefflera elegantissima,(Veitch ex Mast.) Lowry & Frodin  
Schinus molle,L.       
Schinus terebinthifolia,Raddi       
Schizanthus pinnatus,Ruiz & Pav.     
Schizolobium parahyba,(Vell.) S.F.Blake      
Schoenoselinum foeniculoides,(Maire & Wilczek) Jim.MejÌas & P.Vargas  
Schotia brachypetala,Sond.       
Schouwia purpurea,(Forssk.) Schweinf.      
Scleranthus annuus,L.       
Sclerocarpus africanus,Jacq. ex Murray     
Scoparia dulcis,L.       
Scorzonera hispanica,L.       
Scrophularia peregrina,L.       
Searsia lancea,(L.f.) F.A.Barkley      
Searsia tomentosa,(L.) F.A. Barkley     
Sechium edule,(Jacq.) Sw.      
Sedum acre,L.       
Sedum japonicum,Siebold ex Miq.     
Sedum mexicanum,Britton       
Sedum sarmentosum,Bunge       
Seemannia sylvatica,(Kunth) Baill.      
Selenicereus grandiflorus,(L.) Britton & Rose    
Selenicereus testudo,(Karw. ex Zucc.) Buxb.    
Senecio articulatus,(L.f.) Sch.Bip.      
Senecio sempervivus,Sch.Bip.       
Senecio vestitus,(Thunb.) P.J.Bergius      
Senecio vulgaris,L.       
Senegalia burkei,(Benth.) Kyal. & Boatwr.    
Senegalia mellifera,(Benth.) Seigler & Ebinger    
Senna alata,(L.) Roxb.      
Senna alexandrina,Mill.       
Senna artemisioides,Isely       
Senna bicapsularis,(L.) Roxb.      
Senna corymbosa,(Lam.) H.S.Irwin & Barneby    
Senna didymobotrya,(Fresen.) H.S.Irwin & Barneby    
Senna floribunda,(Cav.) H.S.Irwin & Barneby    
Senna fruticosa,(Mill.) H.S.Irwin & Barneby    
Senna hirsuta,(L.) H.S.Irwin & Barneby    
Senna insularis,(Britton & Rose) H.S. Irwin & Barneby 
Senna multiglandulosa,(Jacq.) H.S.Irwin & Barneby    
Senna multijuga,(Rich.) H.S.Irwin & Barneby    
Senna obtusifolia,(L.) H.S.Irwin & Barneby    
Senna occidentalis,(L.) Link      
Senna pallida,(Vahl) H.S.Irwin & Barneby    
Senna planitiicola,(Domin) Randell      
Senna polyphylla,(Jacq.) H.S.Irwin & Barneby    
Senna septemtrionalis,(Viv.) H.S.Irwin & Barneby    
Senna siamea,(Lam.) H.S.Irwin & Barneby    
Senna sophera,(L.) Roxb.      
Senna spectabilis,(DC.) H.S.Irwin & Barneby    
Senna splendida,(Vogel) H.S.Irwin & Barneby    
Senna surattensis,(Burm.f.) H.S.Irwin & Barneby    
Senna timoriensis,(DC.) H.S.Irwin & Barneby    
Senna tora,(L.) Roxb.      
